"jahr","straftat","anzahl"
"2009","Wahlfälschung (Art. 282)",0
"2009","Bruch amtlicher Beschlagnahme (Art. 289)",0
"2009","Siegelbruch (Art. 290)",0
"2009","Mangelnde Sorgfalt bei Finanzgeschäften + Melderecht (Art. 305ter)",0
"2009","Falsche Beweisaussage der Partei (Art. 306)",0
"2009","Falsches Zeugnis/Gutachten/falsche Übersetzung (Art. 307)",0
"2009","Befreiung von Gefangenen (Art. 310)",0
"2009","Amtsmissbrauch (Art. 312)",0
"2009","Ungetreue Amtsführung (Art. 314)",0
"2009","Entweichenlassen von Gefangenen (Art. 319)",0
"2009","Verletzung des Amtsgeheimnisses (Art. 320)",0
"2009","Passive Bestechung schweizerischer Amtsträger (Art. 322quater)",0
"2009","Vorteilsannahme (Art. 322sexies)",0
"2009","Übertretung firmen- + namensrechtlicher Bestimmungen (Art. 326ter)",0
"2010","Fahrzeugdiebstahl (Art. 139)",837
"2010","Betrug (Art. 146)",94
"2010","Hausfriedensbruch + Diebstahl (Art. 186)",748
"2010","Diebstahl (Art. 139)",699
"2010","Sachbeschädigung + Diebstahl (Art. 144)",768
"2010","Einbruchdiebstahl (Art. 139)",645
"2010","Sachbeschädigung (Art. 144)",574
"2010","Ladendiebstahl (Art. 139)",188
"2010","Betrügerischer Missbrauch einer Datenverarbeitungsanlage (Art. 147)",74
"2010","Tätlichkeiten (Art. 126)",209
"2010","Unbefugte Datenbeschaffung (Art. 143)",1
"2010","Diebstahl ab/aus Fahrzeug (Art. 139)",75
"2010","Urkundenfälschung (Art. 251)",33
"2010","Geldwäscherei (Art. 305bis)",1
"2010","Einschleichdiebstahl (Art. 139)",132
"2010","Fahrlässige Körperverletzung (Art. 125)",11
"2010","Hausfriedensbruch (Art. 186)",82
"2010","Einfache Körperverletzung (Art. 123)",105
"2010","Beschimpfung (Art. 177)",25
"2010","Pornografie (Art. 197)",14
"2010","Ungehorsam gegen amtliche Verfügungen (Art. 292)",27
"2010","Unterlassung der Buchführung (Art. 166)",3
"2010","Drohung (Art. 180)",151
"2010","Taschendiebstahl (Art. 139)",193
"2010","Fahrzeugeinbruchdiebstahl (Art. 139)",139
"2010","Erschleichen einer Leistung (Art. 150)",7
"2010","Gewalt + Drohung gegen Behörden + Beamte (Art. 285)",32
